major1,major2,minor1,minor2,IPEDS.Race.Ethnicity,Gender,GPA.Range,Term.Code,survey_city,survey_company,survey_deptfunc,survey_offers,survey_plans,survey_pref_field,survey_pref_loc,survey_salary,survey_state
Business Economics,none,Arts Related,No Minor,White,Male,3.00 - 3.49,201920,Atlanta,Capgemini,"Analytics
 Consulting",2,accepted fulltime job,Yes,Yes,66000.0,GA
Business Economics,none,Language,Language,Hispanic/Latino,Female,3.50 - 4.00,202120,Cincinnati,Deloitte Consulting,Consulting,1,accepted fulltime job,Yes,Yes,70000.0,OH
Finance,none,Sport Management,No Minor,White,Male,3.00 - 3.49,202120,Columbus,Morgan Stanley,Finance,3,accepted fulltime job,Yes,Yes,55000.0,OH
Accountancy,none,Mangement and Leadership,No Minor,White,Female,3.50 - 4.00,202020,Chicago,EY,Accounting,5,accepted fulltime job,Yes,Yes,62000.0,IL
Marketing,none,Arts Related,Arts Related,White,Female,3.50 - 4.00,201910,Cincinnati,Relevate Health Group,Marketing/Sales,2,accepted fulltime job,Yes,Yes,39000.0,OH
Marketing,none,Interactive Media Studies,No Minor,White,Female,3.00 - 3.49,202120,Los Angeles,Vivid Resourcing,Unknown,2,accepted fulltime job,Yes,Yes,60000.0,CA
Marketing,Supply Chain & Operations Mgmt,No Minor,No Minor,White,Female,3.50 - 4.00,202020,Louisville,Parker Hannifin,Logistics / Supply Chain,1,accepted fulltime job,Yes,Yes,62000.0,KY
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Akron,Goodyear Tire & Rubber Company,Accounting Finance,2,accepted fulltime job,Yes,Yes,62700.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Columbus,JP Morgan Chase,Unknown,1,accepted fulltime job,Yes,None,70000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Findley,Marathon Petroleum Corp,Unknown,3,accepted fulltime job,Yes,None,63000.0,OH
Accountancy,none,International Business,International Business,White,Female,3.50 - 4.00,201920,Pittsburgh,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,49000.0,PA
Finance,none,Economics,Political Science,Hispanic/Latino,Male,3.00 - 3.49,202020,New York City,Global X,Finance Marketing / Sales,1,accepted fulltime job,Yes,Yes,45000.0,NY
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Boca Raton,Quicken Loans,Marketing / Sales,1,accepted fulltime job,No,Yes,58120.19679571174,FL
Finance,none,No Minor,No Minor,Multi Racial,Female,3.50 - 4.00,202020,Mason,Luxottica,Accounting Finance,2,accepted fulltime job,Yes,Yes,60000.0,OH
Business Analytics,none,Engineering/Science,Engineering/Science,White,Female,3.00 - 3.49,202120,Biloxi,United States Air Force,Analytics General Management Operations / Procurement,1,accepted fulltime job,Yes,Yes,56000.0,MS
Finance,none,Business Analytics,Business Analytics,White,Male,3.00 - 3.49,202120,Cleveland,KeyBank,Finance Marketing / Sales,1,accepted fulltime job,Yes,Yes,65000.0,OH
Accountancy,Finance,No Minor,No Minor,Asian,Male,3.00 - 3.49,201920,Dayton,F&W Properties,"Accounting
 Finance
 Marketing / Sales",1,accepted fulltime job,Yes,No,30000.0,OH
Marketing,none,Humanities,No Minor,White,Female,2.50 - 2.99,201920,Chicago,Arrive Logistics,Unknown,None,accepted fulltime job,None,None,42000.0,IL
Accountancy,none,Information Systems,No Minor,White,Male,3.50 - 4.00,202120,Toledo,PwC,Accounting,1,accepted fulltime job,Yes,Yes,54000.0,OH
Finance,none,Business Analytics,No Minor,White,Male,3.50 - 4.00,202020,New York City,West Monroe Partners,Analytics Consulting Finance General Management Information Technology,1,accepted fulltime job,Yes,Yes,80500.0,NY
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Chicago,The Nielsen Company,"Analytics
 Marketing / Sales",1,accepted fulltime job,Yes,Yes,58000.0,IL
Finance,none,Accountancy,No Minor,White,Male,3.00 - 3.49,202120,Avon Lake,Avient (Formerly PolyOne),Finance,1,accepted fulltime job,Yes,Yes,59000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Chicago,Ernst & Young,Consulting,1,accepted fulltime job,Yes,Yes,63000.0,IL
Marketing,none,No Minor,No Minor,Unknown,Male,3.00 - 3.49,201920,Chicago,CDW,Marketing/Sales,None,accepted fulltime job,Yes,Yes,30000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Chicago,Crowe LLP,Analytics Consulting,1,accepted fulltime job,Yes,Yes,69000.0,IL
Accountancy,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Chicago,RSM,Accounting,2,accepted fulltime job,Yes,Yes,62500.0,IL
Finance,none,Business Analytics,No Minor,White,Male,3.00 - 3.49,202020,Unknown,Stanley Black & Decker,Unknown,None,accepted fulltime job,None,None,58120.19679571174,CT
Finance,none,Economics,No Minor,White,Male,3.00 - 3.49,201920,Atlanta,Northwestern Mutual,Finance,2,accepted fulltime job,Yes,Yes,58120.19679571174,GA
Accountancy,none,Sport Management,Sport Management,White,Male,3.50 - 4.00,202020,Indianapolis,PwC,Accounting,1,accepted fulltime job,Yes,Yes,52000.0,IN
Accountancy,none,Business Analytics,No Minor,White,Male,3.50 - 4.00,202020,Toledo,EY,Accounting,1,accepted fulltime job,Yes,Yes,54000.0,OH
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,202020,Cincinnati,Deloitte,Accounting,2,accepted fulltime job,Yes,Yes,52000.0,OH
Entrepreneurship,Marketing,Humanities,Humanities,White,Female,3.50 - 4.00,202120,Indianapolis,Jobvite,Advertising / Public Relations General Management Human Resources Marketing / Sales Other:,1,accepted fulltime job,Yes,Yes,50000.0,IN
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202010,Newport,Divisions Maintenance Group,Marketing/Sales,None,accepted fulltime job,No,Yes,40000.0,KY
Finance,none,Business Analytics,Business Analytics,White,Female,3.00 - 3.49,201920,Pittsburgh,Bill Few Associates,"Consulting
 Finance",1,accepted fulltime job,Yes,Yes,45000.0,PA
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,201920,San Francisco,Metrus Energy,Unknown,None,accepted fulltime job,None,None,58120.19679571174,CA
Management and Leadership,none,Political Science,No Minor,White,Male,3.00 - 3.49,202020,Chicago,EY,Unknown,None,accepted fulltime job,None,None,67000.0,IL
Accountancy,none,Information Systems,No Minor,White,Male,3.00 - 3.49,202120,Chicago,EY,Accounting Consulting Finance,1,accepted fulltime job,Yes,Yes,68000.0,IL
Finance,none,No Minor,No Minor,White,Female,3.00 - 3.49,201920,Chicago,TD Ameritrade,Unknown,2,accepted fulltime job,Yes,None,75000.0,IL
Marketing,none,Engineering/Science,Engineering/Science,White,Male,2.50 - 2.99,202120,Colorado Springs,United States Air Force,Finance,1,accepted fulltime job,Yes,Yes,40000.0,CO
Marketing,none,Arts Related,No Minor,White,Female,3.00 - 3.49,202020,Dublin,Kappa Kappa Gamma HQ,Other: Administrative,1,accepted fulltime job,No,Yes,37500.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Washinton,Brailsford & Dunlavey,Unknown,1,accepted fulltime job,Yes,None,60000.0,DC
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Nashville,Lifeway,Logistics/Supply Chain,None,accepted fulltime job,Yes,Yes,58120.19679571174,TN
Marketing,none,Humanities,Humanities,White,Male,3.00 - 3.49,201920,Cincinnati,CBT Company,Marketing / Sales,1,accepted fulltime job,Yes,Yes,40000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,201920,Chicago,Ankura,"Analytics
 Consulting",0,accepted fulltime job,Yes,Yes,73000.0,IL
Marketing,none,Arts Related,Arts Related,White,Female,3.00 - 3.49,201920,Cincinnati,Ahalogy,Marketing / Sales,1,accepted fulltime job,Yes,Yes,45000.0,OH
Supply Chain & Operations Mgmt,none,Information Systems,Information Systems,White,Female,3.50 - 4.00,201920,Columbus,Honda of America,Unknown,None,accepted fulltime job,None,None,54900.0,OH
Finance,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Westlake,Charles Schwab,Unknown,None,accepted fulltime job,None,None,55000.0,TX
Accountancy,Business Analytics,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Columbus,Crowe LLP,IT Assurance / IT Audit,1,accepted fulltime job,Yes,Yes,63000.0,OH
Finance,none,Business Analytics,Business Analytics,White,Male,3.00 - 3.49,202120,Columbus,EY,Consulting,4,accepted fulltime job,Yes,Yes,56000.0,OH
Marketing,none,Arts Related,No Minor,White,Female,3.00 - 3.49,202120,Cincinnati,Radius,Marketing / Sales,3,accepted fulltime job,Yes,Yes,45000.0,OH
Information Systems,none,Business Analytics,Language,Multi Racial,Female,3.50 - 4.00,202120,Chicago,FTI Consulting,Unknown,None,accepted fulltime job,Yes,Yes,77000.0,IL
Information Systems,none,Information Security,Information Security,Multi Racial,Female,3.00 - 3.49,202020,Cincinnati,FIS (formerly Worldpay),Analytics Finance Information Technology,2,accepted fulltime job,Yes,Yes,55000.0,OH
Accountancy,none,No Minor,No Minor,White,Male,3.00 - 3.49,202130,Detroit,PwC,Accounting,1,accepted fulltime job,Yes,Yes,55000.0,MI
Marketing,none,Interactive Media Studies,Interactive Media Studies,White,Female,3.50 - 4.00,202120,Boston,Oracle,Marketing / Sales,2,accepted fulltime job,Yes,Yes,50000.0,MA
Finance,none,No Minor,No Minor,White,Female,3.50 - 4.00,202020,Columbus,JP Morgan Chase,Analytics Finance,7,accepted fulltime job,Yes,Yes,53000.0,OH
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Chicago,EY,Accounting,3,accepted fulltime job,Yes,Yes,62000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Chicago,Brown Gibbons Lang & Company,Accounting Finance,1,accepted fulltime job,Yes,Yes,75000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Troy,PNC Financial Services,Finance,2,accepted fulltime job,Yes,No,60000.0,MI
Finance,none,No Minor,No Minor,White,Female,3.50 - 4.00,202020,Chicago,Oracle Netsuite,Consulting Marketing / Sales,2,accepted fulltime job,Yes,Yes,50000.0,IL
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,New York City,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,70000.0,NY
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Chicago,Abbvie,Unknown,2,accepted fulltime job,Yes,Yes,48000.0,IL
Business Economics,none,Language,No Minor,White,Female,3.00 - 3.49,201920,Chicago,Card Connect,Marketing/Sales,2,accepted fulltime job,Yes,Yes,60000.0,IL
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,2.50 - 2.99,201920,Dayton,United States Department of Defense,Logistics / Supply Chain,1,accepted fulltime job,Yes,Yes,45000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,201920,Chicago,OTIS Elevator,Marketing/Sales,2,accepted fulltime job,Yes,Yes,52500.0,IL
Finance,none,Business Legal Studies,Business Legal Studies,White,Male,3.50 - 4.00,202120,New Orleans,Textron,Finance,1,accepted fulltime job,Yes,Yes,69000.0,LA
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Cleveland,KeyBank,Accounting IT Assurance / IT Audit,1,accepted fulltime job,Yes,Yes,55000.0,OH
Business Economics,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Dover,Block Key Capital,Unknown,None,accepted fulltime job,None,None,58120.19679571174,DE
Accountancy,none,Supply Chain Management,Supply Chain Management,Hispanic/Latino,Female,3.50 - 4.00,201920,Chicago,Ernst and Young,Accounting,1,accepted fulltime job,Yes,Yes,61000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Seattle,Amazon,Finance,1,accepted fulltime job,Yes,Yes,63000.0,WA
Accountancy,Information Systems,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Chicago,Protiviti,"Consulting
 Information Technology",1,accepted fulltime job,Yes,Yes,65000.0,IL
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Millington,Verizon,Unknown,None,accepted fulltime job,None,None,58120.19679571174,NJ
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Naperville,KeHE Distributors,Logistics / Supply Chain Marketing / Sales,2,accepted fulltime job,Yes,Yes,55000.0,IL
Accountancy,Finance,Political Science,Political Science,White,Female,3.00 - 3.49,202020,Chicago,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,62000.0,IL
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,New York City,EY,Accounting,1,accepted fulltime job,Yes,Yes,60000.0,NY
Accountancy,Finance,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Cleveland,EY,"Accounting
 Finance",4,accepted fulltime job,Yes,Yes,51000.0,OH
Accountancy,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Cleveland,EY,IT Assurance/IT Audit,2,accepted fulltime job,None,None,57000.0,OH
Marketing,none,Business Analytics,Business Analytics,White,Female,3.50 - 4.00,202120,Columbus,Abercrombie & Fitch,Unknown,None,accepted fulltime job,Yes,No,62500.0,OH
Accountancy,none,Business Analytics,No Minor,Hispanic/Latino,Male,3.00 - 3.49,202020,Denver,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,55000.0,CO
Finance,none,No Minor,No Minor,White,Female,3.00 - 3.49,201920,Cleveland,PNC Bank,Finance,1,accepted fulltime job,Yes,Yes,60000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Toledo,Owens Corning,Unknown,2,accepted fulltime job,Yes,None,65000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Pittsburgh,DICK's Sporting Goods,Marketing / Sales,1,accepted fulltime job,Yes,Yes,52000.0,PA
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,202020,Minneapolis,KPMG,Accounting,1,accepted fulltime job,Yes,Yes,56000.0,MN
Finance,none,No Minor,No Minor,White,Female,2.00 - 2.49,202120,Columbus,American Electric Power,Finance,4,accepted fulltime job,Yes,Yes,56000.0,OH
Accountancy,none,Humanities,Humanities,White,Male,3.50 - 4.00,202020,Chicago,Plante Moran,Accounting,1,accepted fulltime job,Yes,Yes,62000.0,IL
Marketing,none,Information Systems,No Minor,White,Female,3.00 - 3.49,201920,Chicago,News America Marketing,Marketing / Sales,None,accepted fulltime job,Yes,Yes,50000.0,IL
Finance,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Columbus,JP Morgan Chase,Unknown,None,accepted fulltime job,None,None,60000.0,OH
Accountancy,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Cleveland,EY,Accounting,1,accepted fulltime job,Yes,Yes,52000.0,OH
Information Systems,none,Accountancy,No Minor,White,Male,3.00 - 3.49,202020,Cleveland,PwC,Accounting IT Assurance / IT Audit Information Technology,2,accepted fulltime job,Yes,Yes,55000.0,OH
Accountancy,none,Mangement and Leadership,No Minor,White,Male,3.50 - 4.00,202020,Chicago,Protiviti,Accounting Consulting Finance IT Assurance / IT Audit,1,accepted fulltime job,Yes,Yes,65000.0,IL
Marketing,none,Arts Related,Arts Related,White,Female,3.00 - 3.49,201920,Denver,Insight Global,Marketing / Sales,1,accepted fulltime job,Yes,Yes,56000.0,CO
Finance,none,Language,Language,White,Female,3.00 - 3.49,201920,Loveland,Worldpay/Fidelity Investment,Finance,2,accepted fulltime job,Yes,Yes,55000.0,OH
Marketing,none,Mangement and Leadership,No Minor,White,Female,2.50 - 2.99,201920,Chicago,Insight Global,Marketing / Sales,2,accepted fulltime job,Yes,Yes,40000.0,IL
Marketing,none,Interactive Media Studies,No Minor,White,Female,3.00 - 3.49,202020,Boston,E. & J. Gallo Winery,Marketing / Sales,1,accepted fulltime job,Yes,Yes,60000.0,MA
Finance,none,Interactive Media Studies,No Minor,Hispanic/Latino,Female,3.00 - 3.49,201920,Chicago,JP Morgan Chase,Finance,None,accepted fulltime job,Yes,Yes,55000.0,IL
Marketing,none,Interactive Media Studies,Interactive Media Studies,Hispanic/Latino,Female,3.50 - 4.00,202020,Chicago,GoHealth,Other: Strategy,1,accepted fulltime job,Yes,Yes,65000.0,IL
Marketing,none,Entrepreneurship,Entrepreneurship,Hispanic/Latino,Female,3.50 - 4.00,202020,Cincinnati,84.51º,Analytics Consulting,1,accepted fulltime job,Yes,Yes,65000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Cleveland,KeyBank,Finance,1,accepted fulltime job,Yes,Yes,60000.0,OH
Finance,none,Language,Language,Hispanic/Latino,Male,3.50 - 4.00,202120,Dublin,Cardinal Health,Finance,2,accepted fulltime job,Yes,No,58120.19679571174,OH
Marketing,none,Arts Related,No Minor,White,Female,3.50 - 4.00,202120,Columbus,Abercrombie & Fitch,Unknown,1,accepted fulltime job,Yes,Yes,35360.0,OH
Finance,none,Economics,Economics,White,Male,3.50 - 4.00,202120,Houston,Chubb Insurance,Finance Other: Underwriting,1,accepted fulltime job,Yes,Yes,58000.0,TX
Finance,none,Math/Stat,No Minor,Unknown,Male,3.00 - 3.49,201920,Redmond,Microsoft Corp,Unknown,1,accepted fulltime job,Yes,None,84000.0,WA
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Dayton,PepsiCo,Marketing / Sales,3,accepted fulltime job,Yes,Yes,62000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Chicago,Insight2Profit,"Consulting
 Finance",2,accepted fulltime job,Yes,Yes,63800.0,OH
Finance,none,Humanities,No Minor,White,Male,3.00 - 3.49,201915,Novelty,Stout Risius Ross,Finance,2,accepted fulltime job,Yes,Yes,63000.0,OH
Marketing,none,No Minor,No Minor,White,Male,2.50 - 2.99,202020,Chicago,Echo Global Logistics,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IL
Finance,none,Sport Management,Sport Management,White,Male,3.00 - 3.49,201920,Cincinnati,Cengage,Unknown,None,accepted fulltime job,None,None,50000.0,OH
Supply Chain & Operations Mgmt,none,Business Analytics,Business Analytics,White,Male,3.50 - 4.00,202020,Cleveland,KeyBank,Logistics / Supply Chain Information Technology Operations / Procurement,1,accepted fulltime job,Yes,Yes,60000.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Chicago,AIG,Analytics Other: Risk,2,accepted fulltime job,Yes,Yes,62000.0,IL
Accountancy,Finance,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Cincinnati,PricewaterhouseCoopers,Accounting,2,accepted fulltime job,Yes,Yes,52000.0,OH
Human Capital Mgmt& Leadership,Supply Chain & Operations Mgmt,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Chicago,Collaborative Solutions,Consulting Human Resources,1,accepted fulltime job,Yes,Yes,65000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Chicago,Crowe LLP,Unknown,None,accepted fulltime job,None,None,63000.0,IL
Business Economics,none,Sport Management,No Minor,White,Male,3.50 - 4.00,202020,Columbus,EY,Consulting Finance General Management Marketing / Sales Operations / Procurement,4,accepted fulltime job,Yes,Yes,56000.0,OH
Supply Chain & Operations Mgmt,none,Language,No Minor,White,Male,3.00 - 3.49,201920,Marysville,Honda Manufacturing of America,Operations / Procurement,4,accepted fulltime job,Yes,Yes,54900.0,OH
Finance,none,Economics,Economics,White,Male,3.50 - 4.00,201920,Milwaukee,FIS Global,Marketing/Sales,1,accepted fulltime job,Yes,Yes,50000.0,WI
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Columbus,Deloitte,Accounting,2,accepted fulltime job,Yes,Yes,56000.0,OH
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Chicago,Ernst and Young,Accounting,1,accepted fulltime job,Yes,Yes,61000.0,IL
Marketing,none,Interactive Media Studies,Mangement and Leadership,White,Female,3.00 - 3.49,202020,Columbus,Aerotek,Unknown,None,accepted fulltime job,None,None,58120.19679571174,OH
Supply Chain & Operations Mgmt,none,Mangement and Leadership,Mangement and Leadership,White,Female,3.50 - 4.00,202120,Cincinnati,Procter & Gamble,Logistics / Supply Chain,1,accepted fulltime job,Yes,No,70000.0,OH
Accountancy,none,Entrepreneurship,No Minor,White,Male,3.00 - 3.49,202120,Cincinnati,Deloitte LLP,Accounting Consulting Finance IT Assurance / IT Audit Information Technology,1,accepted fulltime job,Yes,Yes,58000.0,OH
Information Systems,none,No Minor,No Minor,White,Male,2.50 - 2.99,201920,Denver,Unknown,"Analytics
 Finance",2,accepted fulltime job,Yes,Yes,65000.0,CO
Accountancy,none,Mangement and Leadership,Mangement and Leadership,White,Male,3.50 - 4.00,202120,Columbus,KPMG,Accounting,1,accepted fulltime job,Yes,Yes,54000.0,OH
Business Economics,none,Language,International Business,White,Female,3.00 - 3.49,202020,Cincinnati,Procter & Gamble,Unknown,1,accepted fulltime job,None,None,70000.0,OH
Business Analytics,none,Engineering/Science,No Minor,White,Male,3.50 - 4.00,202120,Cleveland,Insight2Profit,Analytics Consulting,4,accepted fulltime job,Yes,Yes,58000.0,OH
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Fairfield,The Cincinnati Insurance Companies,Unknown,None,accepted fulltime job,None,None,45000.0,OH
Supply Chain & Operations Mgmt,none,Engineering/Science,Economics,White,Male,3.50 - 4.00,201920,Solon,Swagelok,Logistics / Supply Chain,1,accepted fulltime job,Yes,Yes,53500.0,OH
Information Systems,none,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Unknown,Farm Credit Mid America,Marketing/Sales,2,accepted fulltime job,No,Yes,51000.0,OH
Finance,none,No Minor,No Minor,White,Male,2.50 - 2.99,202130,Chicago,JP Morgan,Finance,2,accepted fulltime job,Yes,Yes,68000.0,IL
Accountancy,Finance,Business Analytics,Business Analytics,White,Male,3.50 - 4.00,201920,Cincinnati,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,52500.0,OH
Management and Leadership,none,Entrepreneurship,No Minor,White,Male,3.00 - 3.49,201920,Chicago,KellyMitchell,"General Management
 Information Technology",3,accepted fulltime job,Yes,Yes,58120.19679571174,IL
Finance,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Chicago,William Blair,Finance,1,accepted fulltime job,Yes,Yes,80000.0,IL
Marketing,none,Interactive Media Studies,Interactive Media Studies,White,Female,3.50 - 4.00,202120,Remote,Nolia Roots,Marketing / Sales,2,accepted fulltime job,Yes,Yes,38000.0,OH
Business Economics,Finance,No Minor,No Minor,White,Male,3.50 - 4.00,202120,New York City,PwC,Finance,1,accepted fulltime job,Yes,Yes,85000.0,NY
Finance,none,Business Analytics,Business Analytics,White,Male,3.50 - 4.00,201920,Cincinnati,EY,"Accounting
 Consulting
 Finance
 IT Assurance / IT Audit",4,accepted fulltime job,Yes,Yes,52500.0,OH
Finance,none,Economics,No Minor,White,Male,3.00 - 3.49,202020,Cleveland,Sherwin-Williams,Accounting Finance,2,accepted fulltime job,Yes,Yes,52349.0,OH
Human Capital Mgmt& Leadership,none,Humanities,Humanities,White,Female,3.50 - 4.00,202120,Chicago,EY,Consulting Human Resources,2,accepted fulltime job,Yes,Yes,70000.0,IL
Accountancy,none,Mangement and Leadership,Mangement and Leadership,White,Female,3.00 - 3.49,201920,Columbus,Crowe,Accounting,1,accepted fulltime job,Yes,Yes,54500.0,OH
Supply Chain & Operations Mgmt,none,Arts Related,Arts Related,White,Male,3.00 - 3.49,201920,Fort Worth,Bell,"Analytics
 Logistics / Supply Chain",1,accepted fulltime job,Yes,Yes,55000.0,TX
Finance,none,No Minor,No Minor,Hispanic/Latino,Male,3.50 - 4.00,201920,Northbrook,UL LLC,Unknown,2,accepted fulltime job,Yes,None,60000.0,IL
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Columbus,KPMG,Accounting,1,accepted fulltime job,Yes,Yes,73000.0,OH
Finance,none,Humanities,Humanities,White,Male,3.50 - 4.00,201920,New York City,JP Morgan,Finance,5,accepted fulltime job,Yes,Yes,85000.0,NY
Business Analytics,none,Information Systems,Information Systems,White,Female,3.50 - 4.00,202120,Denver,Deloitte,Analytics Consulting IT Assurance / IT Audit,1,accepted fulltime job,Yes,Yes,75000.0,CO
Marketing,none,Arts Related,Supply Chain Management,Hispanic/Latino,Female,3.50 - 4.00,201920,Chicago,Collaborative Solutions,Human Resources,None,accepted fulltime job,Yes,Yes,58000.0,IL
Finance,none,Business Analytics,No Minor,White,Male,3.50 - 4.00,202020,Chicago,Associated Bank,Finance,1,accepted fulltime job,Yes,Yes,60000.0,IL
Information Systems,none,Accountancy,Engineering/Science,White,Male,3.50 - 4.00,202020,Columbus,Big Lots Stores,Unknown,0,accepted fulltime job,None,None,58120.19679571174,OH
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Cincinnati,Seventh Generation,Marketing / Sales,2,accepted fulltime job,Yes,No,48000.0,OH
Marketing,none,Entrepreneurship,No Minor,White,Male,2.50 - 2.99,202110,Chicago,The Morey Corporation,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IL
Supply Chain & Operations Mgmt,none,Information Systems,Information Systems,White,Female,3.00 - 3.49,202120,Columbus,DHL Supply Chain,Logistics / Supply Chain Operations / Procurement,1,accepted fulltime job,Yes,Yes,55000.0,OH
Business Economics,none,No Minor,No Minor,White,Male,3.50 - 4.00,202110,St Petersburg,Raymond James,Unknown,None,accepted fulltime job,None,None,58120.19679571174,FL
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201915,Columbus,CoverMyMeds,Information Technology,1,accepted fulltime job,No,Yes,37000.0,OH
Finance,none,Business Analytics,Business Analytics,White,Male,3.50 - 4.00,201920,New Albany,Abercrombie & Fitch,Unknown,1,accepted fulltime job,Yes,None,62500.0,OH
Finance,none,Humanities,No Minor,White,Female,3.50 - 4.00,202020,Columbus,L Brands,Finance,1,accepted fulltime job,Yes,Yes,62000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Dallas,Goldman Sachs,Analytics,1,accepted fulltime job,Yes,Yes,52000.0,TX
Finance,none,Language,Language,White,Male,3.50 - 4.00,201920,Schaumburg,Byline Bank,Finance,2,accepted fulltime job,Yes,Yes,52000.0,IL
Business Economics,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Pittsburgh,PNC Bank,Analytics,1,accepted fulltime job,Yes,Yes,65000.0,PA
Finance,none,No Minor,No Minor,White,Male,2.50 - 2.99,202110,Cleveland,Park Place Technologies,Unknown,None,accepted fulltime job,None,None,58120.19679571174,OH
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,202020,Pittsburgh,PPG Industries,Accounting,1,accepted fulltime job,Yes,Yes,60000.0,PA
Information Systems,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Chicago,Protiviti,Consulting,2,accepted fulltime job,Yes,Yes,68000.0,IL
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Rancho Cucamunga,hersheys,Marketing / Sales,2,accepted fulltime job,Yes,Yes,42000.0,CA
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Chicago,CDW,Marketing / Sales,1,accepted fulltime job,Yes,Yes,30000.0,IL
Accountancy,none,Arts Related,Business Analytics,White,Female,3.50 - 4.00,201920,Denver,Pricewaterhouse Coopers,Accounting,1,accepted fulltime job,Yes,Yes,56000.0,CO
Marketing,none,Interactive Media Studies,Interactive Media Studies,Multi Racial,Female,3.00 - 3.49,202020,Minneapolis,Kimberly-Clark,Marketing / Sales,1,accepted fulltime job,Yes,Yes,55000.0,MN
